food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",76.0,0.07,3.48,0.0,4.936,0.6759999999999999,169.4,8.0
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",82.0,0.07,5.23,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",81.0,0.07,1.94,0.0,1.84,1.234,2.8,1.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",83.0,0.07,2.06,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",80.0,0.07,3.74,0.0,3.096,1.234,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",81.0,0.07,2.05,0.0,3.096,1.234,3.8,1.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",82.0,0.07,3.12,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEVERAGES,BEER,HIGHER ALCOHOL",58.0,0.9,0.27,0.0,0.0,0.0,4.0,0.0
"ALCOHOLIC BEVERAGES,WINE,ROSE",83.0,0.36,3.8,0.0,0.0,3.8,5.0,0.0
"ALFALFA SEEDS,SPROUTED,RAW",23.0,3.99,2.1,0.69,1.9,0.2,6.0,0.0
"ALLSPICE,GROUND",263.0,6.09,72.12,8.69,21.6,39.286,77.0,0.0
"ALMOND BUTTER,PLN,W/SALT",614.0,20.96,18.82,55.5,10.3,6.27,227.0,0.0
"ALMOND BUTTER,PLN,WO/SALT",614.0,20.96,18.82,55.5,10.3,4.43,7.0,0.0
ALMOND PASTE,458.0,9.0,47.81,27.74,4.8,36.25,9.0,0.0
ALMONDS,579.0,21.15,21.55,49.93,12.5,4.35,1.0,0.0
"ALMONDS,BLANCHED",590.0,21.4,18.67,52.52,9.9,4.63,19.0,0.0
"ALMONDS,DRY RSTD,W/SALT",598.0,20.96,21.01,52.54,10.9,4.86,498.0,0.0
"ALMONDS,DRY RSTD,WO/SALT",598.0,20.96,21.01,52.54,10.9,4.86,3.0,0.0
"ALMONDS,HONEY RSTD,UNBLANCHED",594.0,18.17,27.9,49.9,13.7,2.05,130.0,0.0
