food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Frooti Mango Drink - Parle Agro - 150ml,"272 kj
(65 kcal)",0 g,16.2 g,0 g,,15.7 g,0 g
Butter Cookies - Sapphire - 400 g,"418 kj
(100 kcal)",,0 g,7 g,9 g,20 g,2 g
bournvita - cadbury - 25,,,,,,,0%
Chocolate Flavoured Syrup - Hershey's - 623 g,"1,157 kj
(276 kcal)",1.27 g,66.6 g,0.56 g,0 g,63.6 g,0 g
Riz basmati - Alishaan Superba,"1,460 kj
(349 kcal)",8 g,78 g,0.5 g,1.5 g,,
Lait de soja non sucré,"161 kj
(38 kcal)",4.2 g,1.35 g,1.85 g,0.3 g,0.25 g,
Patal Poha Chivda (Indian snack) - Chitale - 200 g,"1,830 kj
(437 kcal)",66.9 g,0.007 g,15.4 g,0 g,0.001 g,5.2 g
Oats Original Unsweetened,"180 kj
(43 kcal)",1.15 g,7.25 g,1.05 g,0.65 g,4.2 g,0.111 g
Enerzal - 500g,"360 kj
(86 kcal)",,,,,,
Corn Flakes - Kellogg's - 1.2 KG,,,,,,,0%
Nature power papaya soap - 125g,,,,,,,0%
Magix - Parle - 40.86 g,"1,995.768 kj
(477 kcal)",,< 0.018 g,17.6 g,25.8 g,72.6 g,7 g
formula 1 - Herbalife - 500g,6.4 g,,17 g,,36 g,12 g,0%
Vitamin D3 - Holland And Barrett - 100,,,,,,,0%
Hing (Asafoetida) - Catch - 50g,9.58 g,,2.2 g,,8.02 g,,0%
Bhujia - Haldiram - 400,"2,391 kj
(571 kcal)",11.429 g,42.857 g,40 g,4.3 g,2.857 g,2 g
Creme 4 Fun - Dukes - 150g,15.3 g,,30.6 g,,6.6 g,,0%
Cassonade Saint Louis,"1,657 kj
(396 kcal)",0 g,99 g,0 g,,99 g,0 g
50-50 sweet and salt - Britannia,,,,,,,0%
Fruitilicious Fruit Blast Mixed Fruit Jam - Apis - 450 g,"1,229 kj
(293 kcal)",0.32 g,73 g,0.05 g,0.71 g,71.63 g,0.058 g
Fruit salt lemon flavor - Eno - 5g,,,,,,,0%
FUNFOODS PEANUT BUTTER - Dr. Oetker,"2,684 kj
(641 kcal)",26.3 g,19.3 g,51 g,,7.5 g,0 g
Kellogg's Oats - 1 kg,"1,586 kj
(379 kcal)",11.6 g,67.8 g,9 g,10 g,0 g,7 g
Tropicana - 200ml,"205 kj
(49 kcal)",0 g,12.3 g,0 g,0 g,12 g,0 g
Nutella Cocoa Spread 290GM - Ferrero - 290 g,"2,230 kj
(533 kcal)",6.3 g,57.5 g,30.9 g,,56.3 g,0 g
Bolacha Manteiga Belgas - Chabrior,"2,000 kj
(478 kcal)",7.1 g,72.2 g,17.6 g,0 g,32.1 g,0.6 g
Excel - Polar Ice - 12,"747 kj
(178 kcal)",0 g,71.429 g,0 g,,71.429 g,0 g
veeba white pasta dressing - 285g,"1,064 kj
(254 kcal)",-,< 0.1 g,21.63 g,4.85 g,11.96 g,2.92 g
Appy - Parle Agro,"0 kj
(63 kcal)",0 g,15.8 g,0 g,0 g,15.8 g,0.042 g
Coca Cola,"184 kj
(44 kcal)",0 g,11 g,0 g,0 g,11 g,
Taka-tak - Haldiram's,"2,305 kj
(551 kcal)",5.99 g,55.2 g,34.06 g,0 g,1.5 g,1.369 g
Classic chips - Lay's,"418 kj
(100 kcal)",1.25 g,9.375 g,6.25 g,0.625 g,0.625 g,0.266 g
chocolate cranberry museli - yoga bar - 700g,13.2 g,< 230 g,6.75 g,,12.3 g,9.5 g,0 % vol
7.17996E+11,,,,,,,33.33%
Chickpeas Tyson - Katoomba,"1,443 kj
(345 kcal)",22 g,51 g,2 g,,8 g,
Soya rich - 45ग्राम,,,,,,,0%
wheat khari - new poona bakery - 1,,,,,,,0%
Noodles,"1,555 kj
(371 kcal)",11.92 g,79.81 g,0.52 g,,1.48 g,0 g
Tavuk Salam -,"1,004 kj
(240 kcal)",11 g,4 g,20 g,,0.2 g,2.5 g
pediasure - 400gm,0.5 g,11 g,77.5 g,,0 g,12 g,0.686 g
"Sunfeast Nice, 75 g",,,,,,,0%
drinking water - clear - 1l,0 g,0 g,0 g,,0 g,0 g,0 g
8.90426E+12,,,,,,,0%
Bavaria mango passion,,,,0 g,,,
Taj Mahal tea leaves - Brooke Bond - 500 g,,,,Plastic,,,
Sea salted whole cashews,"2,391 kj
(571 kcal)",17.857 g,28.571 g,46.429 g,,7.143 g,1.518 g
Haldirams Alu Bhujia - Haldiram's - 175 g,"2,351 kj
(562 kcal)",8.68 g,0.25 g,38.12 g,,0.25 g,6.15 g
Maaza - Coca-Cola,"251 kj
(60 kcal)",0 g,15 g,0 g,,13 g,
Chips - Pringles,"2,188 kj
(523 kcal)",5 g,62.8 g,7 g,,0.4 g,1.172 g
tarij - Pepsico,,,,,,,0%
Pringles Desi Masala Tadka Flavour - 107 g,"2,167 kj
(518 kcal)",,0.3 g,28.3 g,1.5 g,61.2 g,4.7 g
kurkure -,,,,,,,0%
The Real Vitamin - BIG MUSCLES NUTRITION - 30 caps,,,,,,,"15,984,000,000 µg"
chocobar flavoured ice cream - Arun - 38g/58 ml,28.9 g,5.26 g,34.2 g,,0 g,34.2 g,
"boondi from haldirams
haldirams boondi - Haldiram's",,,,,,,0%
Maida - Ganesh - 1 kg,0.97 g,0.008 g,< 0.5 g,,11.8 g,,< 1 mg
Yoga Bar Steel Cut Oats,"1,665 kj
(398 kcal)",17.8 g,65.1 g,7.4 g,,0 g,0 g
Roasted pumpkin kernels - Tong Garden - 200 g,46.7 g,0.593 g,3.33 g,,36.7 g,3.33 g,0 % vol
Patanjali Honey - 1kg,"320 kj
(320 kcal)",0 g,80 g,0 g,0 g,80 g,0.05 g
Hing Asafoetida - Catch - 100g,9.58 g,,2.2 g,,8.02 g,,0%
dairy milk silk - Cadbury - 250g.,,,,,,,0%
1 pound,,,,,,,6.25%
Hide and seek -bourbon,"1,953 kj
(466 kcal)",6.667 g,73.333 g,16.667 g,,40 g,0.25 g
Ching's Secret Manchurian noodles,"418 kj
(100 kcal)",2.8 g,15.3 g,3 g,,0 g,1 g
Special K original - Kellogg's - 900 g,"1,506 kj
(360 kcal)",8.3 g,85.3 g,1 g,,25 g,0.42 g
Soya Granules - Nutrela - 220 g,"1,443 kj
(345 kcal)",52 g,33 g,0.5 g,,0 g,0 g
Limca - Coca Cola - 2L,"184 kj
(44 kcal)",0 g,11 g,0 g,0 g,11 g,0 g
Lay’s Chile Limon - 55 g,"2,269 kj
(542 kcal)",7.692 g,50 g,34.615 g,,3.846 g,1.856 g
Cake,"1,757 kj
(420 kcal)",6.5 g,57 g,18.4 g,3 g,51.9 g,12 g
potazos - Britannia,,,,,,,0%
yoga bar 20g protein hazelnut,"1,940 kj
(464 kcal)",13 g,429 mg,23 g,23.7 g,34.6 g,29.7 g
Mango 100% juice,"184 kj
(44 kcal)",0 g,11 g,0 g,,0 g,0 g
Rose Lassi - Cavin's - 180 ml,"415 kj
(99 kcal)",17.3 g,0.056 g,2.06 g,18.1 g,10 mg,
KitKat,"1,895 kj
(453 kcal)",7.8 g,60.9 g,19.8 g,27 g,39.5 g,0.289 g
Apple Juice - Tropicana,"393 kj
(94 kcal)",0.4 g,22.9 g,0 g,,0 g,
Cashew Mandel Mix - chili - Snack Fun,"2,674 kj
(639 kcal)",22.8 g,21 g,51.5 g,,5.1 g,0.68 g
ON Gold Standard 100% Whey Protein - Optimum Nutrition - 2.27 kg,3 g,1.539 g,9 g,,73 g,,0%
Greek yogurt,"356 kj
(85 kcal)",7 g,8.8 g,2.4 g,,5.6 g,0.104 g
Gangotri Khakra Plain - 200 g,25.3 g,0.86 g,0.5 g,,13.8 g,7.2 g,0%
كرك - Herbal rea,"264 kj
(63 kcal)",2.6 g,8.6 g,2.1 g,0.7 g,6 g,
Karak tea,"176 kj
(42 kcal)",,,13.333 g,,,
Peanut Butter Creamy,"2,678 kj
(640 kcal)",33.333 g,13.333 g,53.333 g,,0 g,0 g
asitis - 500g,0 g,0 g,0 g,,27 g,0 g,0 % vol
Aachi lime pikle - 10 pieces,,,,,,,100%
Farali mixture - Badalia Foods - 25g,43 g,4 g,4 g,,7 g,4 g,0 % vol
Nouille masala - Nestle,"1,787 kj
(427 kcal)",8 g,63.5 g,15.7 g,,1.2 g,2.931 g
Monaco,"2,067 kj
(494 kcal)",7.8 g,68.4 g,21 g,,7.8 g,
Schezwan Chutney,"600 kj
(143 kcal)",2 g,18.667 g,6.667 g,,3.333 g,4.93 g
BRITANNIA - GOOD DAY - 38g,"2,067 kj
(494 kcal)",7 g,67 g,22 g,,22 g,
Allo Matar,"544 kj
(130 kcal)",2 g,11 g,8 g,,0.3 g,0.8 g
Khajoor Fard {date Crown} 500 GM - 500g,"1,523 kj
(364 kcal)",3 g,80 g,0.45 g,,80 g,0.1 g
Hard Candy - Coastal Bay confections - 85g,"861 kj
(205 kcal)",0 g,94.118 g,0 g,0 g,0 g,0 g
Amul Masti Buttermilk - 200,"29.3 kj
(57 kcal)",,0.1 g,3 g,3.6 g,3.6 g,3 g
Rava idli - MTR - 500 gm,"1,527 kj
(365 kcal)",1.5 g,63 g,8 g,,1.5 g,9 g
Exotic dark - Hershey's,"1,895 kj
(453 kcal)",1.74 g,80.5 g,13.7 g,,64.7 g,0.152 g
Munch - Nestlé,"1,849 kj
(442 kcal)",6.3 g,54.4 g,22.1 g,,34 g,
Thumbs up - Coca-Cola,"163 kj
(39 kcal)",0 g,9.7 g,0 g,0 g,0 g,
tomato discs - 60g,"2,113 kj
(505 kcal)",8 g,59.2 g,26.3 g,0 g,6.2 g,
CornFlakes Almond Honey - Kellogg's,"335 kj
(80 kcal)",6.2 g,81.9 g,8.7 g,1.8 g,30 g,1.075 g
Manna Oats - Steel Cut,"1,682 kj
(402 kcal)",11 g,67 g,10 g,14 g,2 g,
Organic almond,"118 kj
(28 kcal)",1.05 g,1.5 g,2 g,,0.1 g,
Orange Delight - Tropicana,"209 kj
(50 kcal)",0.1 g,12.4 g,0 g,0 g,12 g,
Maggi,"1,628 kj
(389 kcal)",8.2 g,59.6 g,13.5 g,2 g,1.8 g,
Hershy's Kisses cookies 'n' creme - Hershey's,"2,234 kj
(534 kcal)",8.8 g,57.3 g,30 g,,51.7 g,0.348 g
Coconut Milk Powder - Maggi,"2,946 kj
(704 kcal)",8 g,10 g,63.4 g,0.7 g,6 g,
Rich Tomato Ketchup - Maggi,"582 kj
(139 kcal)",1.2 g,33.5 g,0 g,1.8 g,30.8 g,
2 minute noodle - Maggi,"1,628 kj
(389 kcal)",0 g,59.6 g,13.5 g,2 g,1.8 g,2.571 g
Oreo -,"2,021 kj
(483 kcal)",5.2 g,71.9 g,19.6 g,0 g,38.8 g,1.05 g
Kissan peanut butter - 350g,"2,620 kj
(627 kcal)",25.7 g,20.7 g,49.3 g,8.67 g,10.7 g,0.672 g
Pepper Thattai - Adyar Ananda Bhavan - 250g,"2,650 kj
(0 kcal)",10 g,40 g,46.7 g,3.33 g,0 g,1.58 g
Rolled oats,"1,519 kj
(363 kcal)",13.1 g,62.5 g,6.7 g,9.6 g,0.87 g,
Minute maid - 1,"218 kj
(52 kcal)",0 g,0 g,13 g,0 g,0 g,0 g
coca powder - Fruitoman's - 50 g,"1,795 kj
(429 kcal)",21.93 g,54.86 g,13.56 g,25.85 g,1.16 g,0.066 g
Rolled Oats - True Elements - 40g,"1,519 kj
(363 kcal)",13.1 g,62.5 g,6.7 g,9.67 g,0.87 g,0.008 g
Doodh Biscuits,"1,946 kj
(465 kcal)",7.4 g,68.8 g,17.8 g,6 g,20.4 g,0 g
S Sunil medical khargon - 3,,,,,,,0%
Chupa chups butes,"1,523 kj
(364 kcal)",2.8 g,83 g,1.9 g,,59 g,
Sprite - coca cola - 750 ml,,,,,,,0%
Bourbon - Britannia - 60g,"2,042 kj
(488 kcal)",5 g,72 g,20 g,,37.5 g,0 g
Perrier Citron,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0.96 g
Chocolate Peanut Butter - Real Health - 350 g,,,,,,,50%
Milkshake vanilla Ice cream flavor - Hershey's,"665 kj
(159 kcal)",3 g,29 g,3.2 g,,29 g,0.258 g
"Kelloggs Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds - Kellogg's - 750 g","1,640 kj
(392 kcal)",79 g,2.8 g,6 g,0 g,1.6 g,23.5 g
Green Chilli -  - 200g+50g,0.23 g,1.84 g,12.26 g,,1.04 g,,61%
Gorus cookies - Haldiram's,"2,171 kj
(519 kcal)",7.35 g,58.82 g,27.58 g,3.11 g,26.04 g,0.116 g
Chatpata Dal - Haldiram's,"1,937 kj
(462 kcal)",19.5 g,57.3 g,17.3 g,18.4 g,4.1 g,1.948 g
peach - Coca-Cola,"234 kj
(56 kcal)",0 g,14.1 g,0 g,,13.9 g,
Olive oil extra virgin - Bertolli,"3,435 kj
(821 kcal)",0 g,0 g,91 g,,0 g,0 g
Choco mint protein shake,"324 kj
(77 kcal)",9 g,9.75 g,0.29 g,0 g,7.48 g,0.6 g
Yoga Bar,"1,955 kj
(467 kcal)",29.857 g,33.429 g,23.714 g,13.143 g,22.857 g,0.968 g
Charged - Thums Up - 250 ml,"649 kj
(155 kcal)",0 g,15.4 g,0 g,0 g,15.3 g,34.5 g
Milkybar - Nestlé - 24.5 g,"2,079 kj
(497 kcal)",1 g,0.05 g,27.3 g,39.9 g,51.6 g,11.1 g
Atta Maggi,"1,644 kj
(393 kcal)",8 g,63.3 g,13 g,4.8 g,2.7 g,2.052 g
snac tac mango jam - 100g,"1,227 kj
(293 kcal)",0.5 g,71.8 g,0.4 g,0 g,67.3 g,0.401 g
Lassi Mango - Amul,"362 kj
(86 kcal)",2.2 g,14.5 g,2.2 g,0 g,10.1 g,
Mountain Dew - PepsiCo - 250 ml,"205 kj
(49 kcal)",0 g,0 g,0 g,12.3 g,12.3 g,0 g
Premium Jaggery pieces - Rasmalai Gold - 800g,"1,590 kj
(380 kcal)",0.33 g,94.61 g,0.04 g,,,
Thoughtful Kabuki Channa - Namdharis - 500gms,"1,544 kj
(369 kcal)",18.2 g,66.62 g,5.01 g,11.11 g,2 g,
Thoughtful Organic Whole Wheat - Namdharis - 1KG,"1,556 kj
(372 kcal)",11.9 g,76 g,2.26 g,12.17 g,,
Mixed Pickle - Mother's Recipe - 50 g,"556 kj
(133 kcal)",2 g,11 g,9 g,,5 g,
Puffcorn - Kurkure - 57 g,"385 kj
(92 kcal)",1.1 g,11.5 g,4.7 g,,0.8 g,0.338 g
Shami Kabab - Vezlay Food Pvt Ltd. - 500,"150.98 kj
(36 kcal)",15.27 g,19.1 g,1.5 g,4.18 g,0 g,"5,572.15 g"
Budweiser Beats - AB InBev - 250ml,"163 kj
(39 kcal)",0 g,9 g,0 g,,9 g,
desiccated coconut powder - sheer coco - 100g,"2,877 kj
(687 kcal)",9.6 g,,62.5 g,8.5 g,,
Nivea shea smooth body milk,,,,,,,0%
Schezwan Sauce,"126 kj
(30 kcal)",0 g,0 g,2.5 g,0 g,0 g,0 g
Dried Cranberries - Nutraj - 180g,"1,482.93 kj
(354 kcal)",0.99 g,86.47 g,0.51 g,,49.69 g,
Bingo Mad Angles PIZZA..AAAAH - ITC - 36.5g,,,,,,,0%
Amul Lassi,"364 kj
(87 kcal)",2 g,14 g,2 g,,25.3 g,
Parle-G Original Gluco Biscuits - 800 g,"1,900 kj
(454 kcal)",6.9 g,77.3 g,13 g,,25.5 g,0.752 g
Cadbury celebrations - chocolates - 135.7g,27.7 g,,61.2 g,,5.9 g,,
full bloom,,,,,,,0%
Medu avada - Minute khana - 283 g,"1,587 kj
(379 kcal)",13.793 g,36.207 g,20.69 g,5.172 g,0 g,1.422 g
asitis - 500g,0 g,0 g,0 g,,27 g,0 g,0 % vol
Popcorn - 15,"2,402 kj
(574 kcal)",7 g,49 g,39 g,8 g,0 g,
Kelloggs - kellogg's - 240g,"1,660 kj
(398 kcal)",8 g,80 g,6 g,5 g,16 g,0.15 g
Frooti - parle Agro - 150ml,"272 kj
(65 kcal)",0 g,16.2 g,2.5 g,,15.5 g,
"Nouilles instantanées, Super Piquant et épicé - Nongshim","1,782 kj
(426 kcal)",8.1 g,67 g,14 g,,3.7 g,3.2 g
Saffola Masala Veggie Twist Oats - 38 g,"1,573 kj
(376 kcal)",12.4 g,0 mg,9.9 g,5.1 g,69.2 g,5 g
5star - Cadbury - 25g,"1,870 kj
(447 kcal)",3.3 g,72.7 g,15.9 g,,60.5 g,0.378 g
Premium kachi ghani pure mustard oil - Fortune - 1 L,"3,766 kj
(900 kcal)",0 g,66 g,13.6 g,1 g,27 g,0 g
Cracker - Britannia - 100g,15 g,,0.5 g,,10 g,0 g,0%
Badam drink mix - MTR - 500g,"1,600 kj
(382 kcal)",4.8 g,80 g,4.8 g,1.1 g,76 g,0.132 g
Dairy Milk Silky Bubbly BubbleGum - Cadbury - 120g,"2,276 kj
(544 kcal)",58.3 g,0.1 g,31.6 g,58.9 g,25.1 mg,
Micronized Creatine Powder - Optimum Nutrition - 250g,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0 g
Gatorade,"100 kj
(24 kcal)",0 g,6 g,0 g,0 g,6 g,
yippee noodles (ITC) -  - 420g,"1,920 kj
(459 kcal)",62.6 g,2.6 g,20.1 g,0.1 g,128.5 g,4.6 g
Chocolate Milkshake - Cavin's - 1 Liter,"450 kj
(107 kcal)",8 g,13 mg,5.6 g,33 g,17.6 g,3 g
Jamaican All Spice - 1,,,,,49.2 g,,
Jolochip,"0 kj
(0 kcal)",14.2 g,21.4 g,30.8 g,,0 g,
Creamy Dark Chocolate Peanut Butter - Muscle Blaze - 750g,"2,806 kj
(610 kcal)",3.02 g,10.35 mg,45.42 g,18.32 g,21.85 g,30 g
Puff Dough Paratha - Switz - 400 grams,"1,386 kj
(330 kcal)",8 g,43 g,14 g,10 g,3 g,425 g
Tropicana,"238 kj
(57 kcal)",0 g,14.4 g,0 g,,13.5 g,
Matcha Green Tea - 50 g,"1,712 kj
(409 kcal)",23.09 g,60.64 g,8.6 g,0 g,0 g,
Ragi with oats biscuits,"1,941 kj
(463 kcal)",6.13 g,64.31 g,20.23 g,6.86 g,3.13 g,
Sweet cream vanilla,"272 kj
(65 kcal)",2.3 g,14.1 g,2.3 g,2.5 g,3 g,
Jaw dropping skin,"3,766 kj
(900 kcal)",0 g,100 g,0 g,,100 g,22.5 g
Badam Shakers,"437 kj
(104 kcal)",3 g,13 g,4.5 g,0 g,13 g,0.105 g
100 Pipers - Seagram’s,,,0 g,0 g,,,
Sweet Cannoman Peanut Butter,"2,478 kj
(592 kcal)",22.05 g,30.3 g,42.53 g,6.93 g,17.89 g,0.112 g
Masala delight,"1,966 kj
(469 kcal)",9 g,65.7 g,19 g,2 g,2 g,4.05 g
Exotic Dark - Hershey’s,"2,310 kj
(552 kcal)",8 g,52 g,34.7 g,,36.8 g,0.848 g
Chupa chups mango + orange flavour,"1,614 kj
(385 kcal)",0 g,95 g,0 g,,74 g,
Green Chilli Pickle - Engine,"495 kj
(118 kcal)",,0 mg,7.63 g,,9.41 g,2.97 g
Patal pohe chiwda - Kaka Halwai sweets - 250g,,,,,,,0%
Hi-Nutrition Breakfast Cereal,"1,763 kj
(421 kcal)",12.3 g,78.2 g,6.6 g,5.5 g,4.5 g,0.578 g
Waffy,"2,008 kj
(480 kcal)",4 g,74.6 g,18.4 g,,52.6 g,
Juzt Jelly,"1,448 kj
(346 kcal)",0.02 g,86 g,0 g,,74 g,0 g
Peanut butter,"812 kj
(194 kcal)",10 g,7 g,15 g,3 g,1 g,
20/20,,,,,,,0%
Sizzlin hot nacho,"2,176 kj
(520 kcal)",7.4 g,60.4 g,27.7 g,,4.9 g,1.608 g
Multani rajbhogprash,"1,498 kj
(357 kcal)",0 g,78.7 g,4.6 g,3.7 g,60.1 g,
rich tomato sauce - Maggi,"506 kj
(121 kcal)",0.6 g,30.2 g,0 g,1.3 g,27 g,2.084 g
Tomato Sauce,"556 kj
(133 kcal)",1.1 g,30.9 g,0.4 g,0.6 g,29.2 g,1.722 g
Oven Cookie - Margarita,"544 kj
(130 kcal)",2 g,20 g,5 g,,12 g,
Max protein active choco fudge bar,"1,310 kj
(313 kcal)",20 g,33.9 g,12.5 g,5 g,10.7 g,0.465 g
yavira - Kimaya Himalayan Beverages - 500 ml,,,,,,,0%
Hangyo Pink Guava Icecream,"808 kj
(193 kcal)",3.6 g,21.7 g,10.2 g,,18.45 g,0.325 g
Hangyo Roasted Almonds Icecream,"862 kj
(206 kcal)",4 g,22.1 g,11.3 g,0 g,18 g,
Patanjali Atta noodles Chatpata flavour,"1,929 kj
(461 kcal)",10.44 g,62.43 g,18.88 g,0 g,5.81 g,3.525 g
Wai wai masala noodles,"1,962 kj
(469 kcal)",10 g,60 g,21 g,2 g,1 g,
Prem raisins -,,,,,,,0%
Aloo bhujia -,,,,,,,0%
Tata Go fit plant protein shake,"1,556 kj
(372 kcal)",72 g,9.6 g,4 g,,0.4 g,2.28 g
Mixed Fruit,"218 kj
(52 kcal)",0.2 g,13.1 g,0 g,,13.1 g,
Rajdhani Maida -,,,,,,,0%
Sharbat Khus - Shree Guruji - 750ml,"1,153 kj
(275 kcal)",0.1 g,72.92 g,0.21 g,,52.21 g,0.039 g
Happychef Tandoori Paneer Tikka Pizza - 240 g,"1,004 kj
(240 kcal)",2 g,0 g,9 g,30 g,20 mg,1 g
Winkies chocolate swiss roll,"1,706 kj
(407 kcal)",6.75 g,59.41 g,15.91 g,,28.91 g,0.259 g
Danish bun,"1,339 kj
(320 kcal)",8.3 g,57.3 g,6.4 g,0 g,18 g,
Ringo Star ring -  - 100g,"2,059 kj
(492 kcal)",7 g,66.5 g,22 g,,3.13 g,
Maggi pazzta,"1,343 kj
(321 kcal)",7.7 g,69.8 g,1.9 g,2 g,6.8 g,1.78 g
8.46138E+12,,,,,,,0%
Nature's essence almond and honey -  - 400ml,,,,,,,0%
yippee! - sunfeast - 280g,"2,042 kj
(488 kcal)",9.6 g,62.5 g,18.6 g,0 g,3.6 g,
Kismis - Parle - 12g,"1,715 kj
(410 kcal)",,,,,,
Myfitness Chocolate peanut butter - 510 g,"2,576 kj
(615 kcal)",25 g,18.75 g,46.875 g,6.25 g,9.375 g,0.867 g
Little Heart 75g - 50,,,,,,,0%
FC cashew - 10,,,,,,,100%
Bru instant Coffee,"21 kj
(5 kcal)",0 g,1 g,0 g,0 g,0 g,0 g
Hide and Seek chocochip cookies,"2,075 kj
(496 kcal)",6.3 g,69.5 g,21.4 g,,28.9 g,
Ferrero Rocher,"2,489 kj
(595 kcal)",8.2 g,44.4 g,42.7 g,0 g,39.9 g,
Kettle corn,"523 kj
(125 kcal)",1 g,23 g,2.8 g,1 g,12 g,0.295 g
31290143009,,,,,,,0%
Raspberry lucozade sport,"473 kj
(113 kcal)",1.2 g,6.3 g,0 g,0 g,3.5 g,0.12 g
trail mix - boyo - 200 grams,"2 kj
(0 kcal)",15 g,37 g,38 g,10 g,23 g,0.024 g
dairy milk - cadbury - 12 gram,"2,393 kj
(572 kcal)",5.6 g,64.2 g,27.9 g,0 g,61 g,0.231 g
delight nuts Omani dates,,,,,,,0%
amul masti dahi - 1 kg,,,,,,,0%
Veggie Chicken - Good dot - 250,"768 kj
(183 kcal)",25.92 g,11.8 g,3.62 g,,,
X-press Instant Noodles Masala Delight,"1,958 kj
(468 kcal)",3 g,63 g,20 g,,1.95 g,3.15 g
Pistachios - Vinod - 250 g,57 g,1.245 g,10 g,7 g,20 g,13 g,145 mg
Walnut Rernels - Vindo - 250 g,"2,874 kj
(687 kcal)",2.6 g,1.6 mg,64.5 g,0 g,11 g,15.6 g
Coconut Dreamz Biscuit,"1,849 kj
(442 kcal)",6.2 g,76 g,12.7 g,0 g,31.5 g,0.37 g
Mamra giri Almond - Bliss - 250g,"2,684 kj
(641 kcal)",22.12 g,16.06 g,55.02 g,10.65 g,0 g,0 g
gol kachauri - Haldiram's - 200 g,"2,050 kj
(490 kcal)",7.84 g,0 g,25.94 g,52.7 g,0 mg,4.86 g
Dry fruit mix - Haldiram's - 200 g,"2,251 kj
(538 kcal)",6.1 g,0 g,30.8 g,8.05 g,44.91 g,17.15 g
8.90402E+12,"1,720 kj
(411 kcal)",8.5 g,75.3 g,8.5 g,,41.7 g,
Multigrain Dosa - MTR - 500g,"1,626 kj
(388 kcal)",8 g,0 g,5.4 g,0 g,72 g,13 g
rasgulla - bikaji - 100,"1,310 kj
(313 kcal)",,,,,,
Bikasul - 500 mg,,,,,,,0%
English oven -  - 400g,"1,056 kj
(252 kcal)",9 g,22 g,88 g,5 g,77 g,8 g
Knorr soupy noodles mast masala,"1,828 kj
(437 kcal)",10.2 g,63.3 g,15.8 g,1.1 g,10.3 g,4.775 g
Kelloggs Crunchy Granola Almonds & Cranberries - 460 g,"1,858 kj
(444 kcal)",5 g,0 g,16 g,28 g,70.6 g,7 g
Yippe noodles - ITC - 60G,"1,920 kj
(459 kcal)",9 g,62.6 g,20.1 g,,3 g,
Good life black salt 200g -,,,,,,,0%
Marie Light,"1,845 kj
(441 kcal)",8.3 g,77.6 g,11.5 g,3 g,22.2 g,0.722 g
Fruit Blast Mixed Fruit Jam,"1,109 kj
(265 kcal)",2 g,65.5 g,2 g,0 g,65.3 g,
Amul Chocochips Icecream,"1,029 kj
(246 kcal)",4.4 g,27.6 g,13.5 g,,24.5 g,0.115 g
Arabian Premium Dates,"349 kj
(83 kcal)",0.5 g,19.6 g,0.4 g,0 g,15.5 g,
Glucose-D,"1,506 kj
(360 kcal)",0 g,90 g,0 g,,0 g,
Butter cookies,"2,013 kj
(481 kcal)",7.5 g,68.9 g,19.5 g,,25 g,
Breakfast protein bar - Yoga Bar - 50g,"1,799 kj
(430 kcal)",16 g,62.2 g,14.6 g,13.8 g,15.8 g,0 g
Maaza - 150 mL,"184 kj
(44 kcal)",0 g,11 g,0 g,0 g,10.7 g,0.055 g
Sofit Soya Drink (Kesar Pista Flavour) - Hershey's India - 1 l,"295 kj
(70 kcal)",0 g,0.001 g,1.6 g,0 g,0.03 g,10.8 g
Snappers,"2,038 kj
(487 kcal)",7.3 g,65.5 g,21.8 g,,11 g,
Doodh Biscuits,"1,958 kj
(468 kcal)",7.2 g,72 g,17 g,6 g,24 g,
NACHO CHIPS,"2,066 kj
(493 kcal)",7.43 g,66.26 g,22.11 g,3.98 g,5.24 g,1.596 g
Caramilk bars,"1,824 kj
(436 kcal)",2 g,80 g,12 g,0 g,58 g,
Chocos crunch bites - Kellogg's,"1,632 kj
(390 kcal)",4 g,84.9 g,3.1 g,30 g,31 g,0.45 g
Fruit Cake with Raisin & Tutti Frutti - winkies - 130 g,"1,771 kj
(423 kcal)",32.87 g,0.11 g,20.06 g,53.09 g,"78,260 mg",
Slice - PepsiCo Inc. - 1.75 l,"268 kj
(64 kcal)",0 g,15.9 g,0 g,0 g,15.5 g,0.023 g
Cold coffee,"267 kj
(63 kcal)",8.182 g,7.064 g,0.318 g,0 g,6.264 g,0 g
Chat Masala - Bitta - 100gm,"126 kj
(30 kcal)",6 g,22.2 g,3.3 g,2 g,0 g,
Mithi orange candy - 100 g,"1,611 kj
(385 kcal)",0 g,97.1 g,0 g,,70 g,
אורז בסמוי חום מלא - וילי פוד,"519 kj
(124 kcal)",2.8 g,25.6 g,0.9 g,1.6 g,,
Grape - Real - 1Litre,"251 kj
(60 kcal)",,,,,,
3.94873E+12,56 g,,,564 g,,,
Protinex,"1,561 kj
(373 kcal)",34 g,54.4 g,2.1 g,0 g,15 g,0.75 g
8.90173E+12,"2,067 kj
(494 kcal)",,0.03 g,21.7 g,35.6 g,68.2 g,6.6 g
Vanilla ice cream - Dinshaw - 700ml,"829 kj
(198 kcal)",,,,,,
