food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
chyawanprabha - patanjali - 750 g,"149 kj
(35 kcal)",0.11 g,7.8 g,0.4 g,5.6 g,3.6 g,0 g
Dana Whole Milk,"268 kj
(64 kcal)",3.2 g,4.8 g,3.6 g,,0 g,0.118 g
Pista Chikki - Shri Mahalaxmi - 450 g,"2,232 kj
(533 kcal)",,51.84 g,29.19 g,9.874 g,,
doctor,,,,,,,0%
Toasted miller muesli,"1,983 kj
(474 kcal)",9.78 g,63.3 g,23.82 g,,20.9 g,
Organic Spicy Avocado Hummus - Trader Joe's,"33 kj
(8 kcal)",2 g,0.1 g,4 g,,0 g,1.15 g
Chat Masala (Mix spices powder),"727 kj
(173 kcal)",14 g,17.5 g,5.3 g,,0 g,0 g
Dark chocolate peanut butter,"2,364 kj
(565 kcal)",26.66 g,31.34 g,38.8 g,,17.4 g,0 g
8.90426E+12,,,,,,,0%
Namkeen - Haldiram's - 20,"2,213 kj
(528 kcal)",11.2 g,57.8 g,28.1 g,7.6 g,10.8 g,14.8 g
100066,"3,170 kj
(758 kcal)",17.2 g,8.97 g,71.7 g,,0 g,
Sowbhagya foods - 500GM,"17 kj
(4 kcal)",4.1 g,22.8 g,15.4 g,0.9 g,0 g,0.34 g
Kuthu vilakku - wheat flour (atta),1.9 g,,,,12 g,,0%
Muscleblaze - 4kg,"0 kj
(0 kcal)",46.67 g,0 g,0.35 g,0 g,,0 g
Sainda namak - 200g,,,,,,,0%
Nan Khatai,"372 kj
(89 kcal)",1 g,11 g,4.5 g,,4 g,
Clear shampoo - 6 ml+ 15% extra =7 ml,,,,,,,0%
Dugra ghee - 910g,938.8 g,,,,0 g,,0%
Yippee - 420gms,"1,958 kj
(468 kcal)",9 g,62.6 g,20.1 g,,3 g,
Pantene pro-v oil replacement - 80 ml,,,,,,,0%
Blueberries,"1,455 kj
(347 kcal)",2.333 g,82.667 g,0 g,,43.333 g,0 g
Yop!,"331 kj
(79 kcal)",2.8 g,12.4 g,1.3 g,,11 g,0.2 g
Omega 3,,0 g,,,,,
Marie GOLD - Britannia - 300g,"42 kj
(10 kcal)",8 g,77 g,12 g,5 g,22 g,10 g
Amul,,,,,,,0%
Vadilal Gourmet Nutty Belgian Dark chocolate Super Premium Ice Cream,,,,,,,0%
Coca Cola - 180ml,,,,,,,0%
Vikas Saxena - Veg pro - 60g,"1,443 kj
(345 kcal)",52 g,33 g,0.5 g,,,
Raviolis aux tomates confites et romarain - Saint-Jean,"1,138 kj
(272 kcal)",9.8 g,41 g,7.1 g,,3.6 g,1.5 g
milky mist  fresh  cream,,,,,,,0%
veggiee fingers - McCain - 175g,"758 kj
(181 kcal)",3.06 g,24.6 g,7.01 g,0 g,0 g,
Potato crackers - Bombay Sweets - 22g,,,,,,,0%
suji - Akshat group - 500 g,"1,460 kj
(349 kcal)",13 g,75 g,0.6 g,,,
Sabudana - Shri Varalakshmi Company - 500 g,"1,469 kj
(351 kcal)",0.2 g,87.1 g,0.2 g,0.18 g,,
Besan - Lal Gulab - 500 g,"1,611 kj
(385 kcal)",23 g,61.6 g,5.62 g,11.8 g,,
Walnuts - Proventus Retail Pvt Ltd. - 500 g,"2,866 kj
(685 kcal)",17.31 g,10.36 g,63.84 g,6.75 g,,0.545 g
Haldiram's Pasta - Haldirams - 200 g,"1,538 kj
(367 kcal)",0.18 g,78.8 g,1.1 g,,0 g,0 g
mamra almonds - K.B.B Nuts Pvt. Ltd. - 250 g,"2,406 kj
(575 kcal)",21.2 g,21.7 g,49.4 g,12.2 g,3.9 g,0.002 g
Lipton green tea honey lemon - 25 N * 1.6 g,,,,Plastic,,,
mom chinese fried rice - alimento agro - 87 g,"1,620 kj
(387 kcal)",9.2 g,57.5 g,13.8 g,5.75 g,4.6 g,4.98 g
