#{"t_start": 1749475777.1533613, "env_id": "None"}
r,l,t
0.872231,7,16.402052
1.062596,7,16.414053
1.088639,7,16.426054
1.208591,7,16.435055
1.007235,7,16.445063
0.751597,7,16.453057
1.010048,7,16.461572
0.86342,7,16.469567
0.15111,7,16.479567
0.987821,7,16.490567
0.787497,7,16.499568
0.844789,7,16.508566
0.695725,7,16.515566
0.702741,7,16.523568
1.183543,7,16.530565
1.252106,7,16.537565
1.126249,7,16.546573
1.175186,7,16.553573
1.062654,7,16.561079
0.802367,7,16.568083
1.191033,7,16.577078
1.168435,7,16.584079
1.122192,7,16.592078
1.139527,7,16.599077
1.385533,7,16.606078
1.408021,7,16.613078
1.302019,7,16.621079
0.581576,7,16.628078
1.320304,7,16.63608
1.135085,7,16.643084
1.148723,7,16.651082
1.159481,7,16.658594
0.951565,7,16.666597
0.225221,7,16.674593
1.063672,7,16.682595
1.295929,7,16.689596
1.385843,7,16.697597
-26.360842,7,16.704596
1.109037,7,16.712593
0.916835,7,16.720593
0.817935,7,16.727596
1.080116,7,16.736593
0.918062,7,16.743597
1.026229,7,16.751597
0.766627,7,16.759678
0.793586,7,16.767678
1.414996,7,16.774679
1.097973,7,16.782681
1.179296,7,16.790681
1.174199,7,16.799684
1.274152,7,16.808313
1.28367,7,16.815321
1.013793,7,16.82232
0.713663,7,16.829318
1.234079,7,16.83732
1.111828,7,16.845324
1.253306,7,16.852323
0.86355,7,16.85983
1.195127,7,16.86683
1.317169,7,16.87483
1.172928,7,16.882828
1.013891,7,16.89083
1.093689,7,16.898829
1.024262,7,16.90683
1.137248,7,16.913827
1.230786,7,16.92183
1.298162,7,16.929831
1.02288,7,16.937829
0.460098,7,16.945833
0.869953,7,16.952833
1.421562,7,16.960344
1.286171,7,16.968342
-0.297781,7,16.975344
1.132912,7,16.983345
0.94102,7,16.990344
1.359939,7,16.999345
0.829833,7,17.007343
0.919956,7,17.014343
0.758909,7,17.022345
1.116039,7,17.029345
0.602597,7,17.108859
0.958244,7,17.118862
0.92401,7,17.128859
0.981683,7,17.138861
1.022797,7,17.149864
0.780734,7,17.159383
1.308173,7,17.169381
1.279098,7,17.177381
0.425804,7,17.187382
1.52059,7,17.197382
1.212127,7,17.20938
0.393282,7,17.218385
0.716932,7,17.225383
0.551876,7,17.233383
1.077093,7,17.241382
1.365071,7,17.248389
0.05488,7,17.256894
1.122095,7,17.264901
1.317918,7,17.271899
1.226328,7,17.2809
0.780598,7,17.2879
0.883401,7,17.295899
1.14515,7,17.302898
1.195938,7,17.309898
0.922354,7,17.3179
1.348186,7,17.324901
0.679715,7,17.333898
1.215214,7,17.340899
1.28961,7,17.348902
1.311389,7,17.355904
1.053743,7,17.364417
1.196262,7,17.372415
1.10593,7,17.380417
1.28971,7,17.38742
0.623104,7,17.395418
1.324671,7,17.402417
1.210248,7,17.410416
0.947342,7,17.417418
-1.252565,7,17.425415
1.162064,7,17.43242
1.23359,7,17.440415
1.386299,7,17.447421
0.760759,7,17.455418
0.126225,7,17.462928
1.213855,7,17.470927
0.786173,7,17.477927
0.922863,7,17.486926
0.792709,7,17.496927
1.225034,7,17.505926
1.440721,7,17.51493
1.131174,7,17.522927
1.193083,7,17.530927
1.423159,7,17.538928
1.158897,7,17.545933
-39.167721,7,17.553936
0.572785,7,17.561453
0.648986,7,17.569452
0.30822,7,17.576451
0.677407,7,17.584451
1.078099,7,17.592451
0.430779,7,17.600451
1.218698,7,17.608449
0.790401,7,17.618452
0.610179,7,17.62845
0.80088,7,17.637452
1.250135,7,17.646456
0.975413,7,17.655455
1.163834,7,17.664964
1.058935,7,17.67397
1.261639,7,17.682967
0.84156,7,17.691969
1.277788,7,17.702966
0.581692,7,17.712643
1.046156,7,17.721643
1.392911,7,17.732642
0.569726,7,17.743648
1.171943,7,17.752648
1.521567,7,17.76216
1.235382,7,17.772159
0.99675,7,17.781161
0.964947,7,17.791161
1.35686,7,17.800159
0.776568,7,17.81016
1.067519,7,17.820159
0.962381,7,17.829156
0.876627,7,17.838159
1.219376,7,17.848166
0.452976,7,17.857162
0.12699,7,17.869463
1.099453,7,17.878461
-0.148809,7,17.888466
0.466331,7,17.899462
1.029016,7,17.908464
0.570142,7,17.918463
1.034289,7,17.927463
1.007024,7,17.936465
0.670133,7,17.945467
