pop_size,n_gen,cxpb,mutpb,overall_score,critical_score,num_foods,exec_time
90,68,0.8422299064876035,0.6238004184558861,67.5,60.0,8,55.39691352844238
74,81,0.7192353102182841,0.6762093057958416,67.5,60.0,8,18.94187307357788
94,88,0.8873459977473469,0.35500837765839727,62.5,46.666666666666664,7,28.734183073043823
82,74,0.7418143241475427,0.5165791895310263,72.5,73.33333333333333,8,43.23077940940857
89,56,0.8319968092068358,0.6268888800804864,60.0,40.0,7,34.48112082481384
56,50,0.7186205535611798,0.6588863031813307,62.5,60.0,8,33.49345898628235
91,81,0.8266202914546537,0.43561191641948027,62.5,46.666666666666664,7,52.28850030899048
89,68,0.8451911357740479,0.6588441039810308,67.5,46.666666666666664,7,53.4546422958374
78,82,0.8284063292308576,0.3336559859980195,60.0,40.0,8,31.508389472961426
62,85,0.8797108377054159,0.542571623863836,47.5,20.0,8,14.414126634597778
89,97,0.7202943085732064,0.5654007076432224,55.0,40.0,7,32.373170137405396
83,67,0.7321616102834997,0.5194935157466344,65.0,66.66666666666667,8,14.546719789505005
89,65,0.8988914925221642,0.37037010107093815,67.5,46.666666666666664,7,61.13958954811096
58,82,0.798778743036687,0.3715290836885315,67.5,60.0,8,12.84626817703247
62,56,0.8441879848504259,0.4232243167409557,52.5,20.0,8,9.265320062637329
66,71,0.7530404735363451,0.3975958573516334,55.0,40.0,8,17.794828414916992
92,87,0.7786195449333521,0.6568186220708453,67.5,60.0,8,26.015889167785645
81,76,0.8589622607083297,0.5010548372420768,77.5,86.66666666666667,8,47.31919050216675
82,96,0.7985035387637728,0.3780971951192178,62.5,60.0,8,31.417012214660645
73,53,0.7048631932862908,0.5581889183628671,55.0,40.0,8,36.71739196777344
71,93,0.8880917168705829,0.6815714308010349,70.0,66.66666666666667,7,51.329246282577515
60,84,0.8495437547794829,0.6812287388095812,62.5,46.666666666666664,6,33.7799916267395
83,98,0.810552993367098,0.5289169876683353,60.0,40.0,8,23.65700340270996
87,70,0.7381822062300691,0.4073899427560627,80.0,93.33333333333333,8,49.93183255195618
57,67,0.81136025249167,0.6744619096643123,72.5,73.33333333333333,8,30.100518465042114
57,89,0.7140832261699087,0.3835674870461441,50.0,40.0,8,17.68599271774292
76,72,0.7280168030473048,0.5073318609454947,57.5,46.666666666666664,8,39.42020082473755
56,75,0.848153723550841,0.5788062963981071,47.5,20.0,8,35.808844804763794
93,78,0.7593020287295597,0.46791234257851055,65.0,40.0,8,17.13426113128662
79,73,0.8826481105112942,0.504536959544375,75.0,66.66666666666667,8,28.777929067611694
90,94,0.7388547907024084,0.32837636679997106,65.0,66.66666666666667,7,30.317291975021362
70,63,0.8780010683635133,0.4351980627406143,52.5,20.0,8,25.65768003463745
82,83,0.7187963879681738,0.5313120563984696,50.0,40.0,7,18.673094511032104
76,74,0.7310083233455488,0.6927363553242124,67.5,60.0,7,62.14462971687317
76,71,0.7500502721031728,0.31553389377176927,60.0,40.0,7,33.60412096977234
69,92,0.7254121025303769,0.5088973040219217,55.0,40.0,8,38.40090322494507
59,88,0.7170694929987536,0.32067268846744307,70.0,66.66666666666667,6,22.459326028823853
84,96,0.8399024421534388,0.3553412369671205,67.5,60.0,8,37.6368088722229
70,62,0.8939073734228318,0.5858380416719808,60.0,40.0,8,13.960914850234985
73,66,0.7797641802889589,0.47340829503229676,57.5,46.666666666666664,5,28.364601135253906
80,86,0.736866734866274,0.33234918664687907,62.5,46.666666666666664,7,31.874361991882324
63,61,0.781790588882854,0.3693177280283383,65.0,93.33333333333333,7,16.603926181793213
55,96,0.750048579632919,0.5196906658824482,70.0,66.66666666666667,7,27.331507205963135
79,89,0.886922799467942,0.5553082375373402,62.5,46.666666666666664,7,43.341891050338745
93,54,0.8223441492468705,0.46784002497111593,42.5,20.0,7,18.66764545440674
66,75,0.7711945357302523,0.6031384441857477,75.0,66.66666666666667,8,37.333563804626465
83,63,0.7183598131626884,0.33766279530742405,72.5,86.66666666666667,7,42.070987939834595
84,95,0.8959021057243017,0.37013210795573537,77.5,86.66666666666667,7,46.73864269256592
70,75,0.8526728846007822,0.6227651908203118,57.5,20.0,7,46.95044565200806
90,82,0.7929347625879223,0.5599094730571053,60.0,40.0,8,41.48756122589111
64,54,0.8773360774596095,0.40435744933668555,57.5,20.0,8,9.490326881408691
